rank,run_name,metric_source,router_depth,router_norm_type,router_dropout_rate,fid128,fid128_step,fid32,valid_loss,delta_vs_hist_baseline,delta_vs_reg_best,fm_pred_target_var_ratio,flow_straightness,flow_curvature,router_valid_loss,router_valid_top1_agreement,router_usage_entropy_normalized,geometry_x0_x1_cosine_mean,geometry_v_x1_cosine_mean,geometry_v_x0_cosine_mean,tide_topk_mu_pair_cosine_mean,tide_topk_mu_angular_dispersion
1,tide-routerdeep-d4-drop02-k16-top2-soft075-dir512,kaggle_diagnostics,4,none,0.2,7.094150543212891,300000,9.28618335723877,0.456211656332016,0.12515054321289032,-0.05313825607299805,0.6508567136423884,1.1107182781714613,0.02083886697021363,0.14372570160776377,0.943359375,0.9491737447679043,0.16267336905002594,0.6495096683502197,-0.6358206272125244,0.7656174302101135,5.065498498879606e-06
2,tide-routerdeep-d5-ln-drop02-k16-top2-soft075-dir512,kaggle_diagnostics,5,layer_norm,0.2,7.163968086242676,300000,9.237953186035156,0.4610390067100525,0.19496808624267548,0.01667928695678711,0.660616478964066,1.1110832268929542,0.020914340899099628,0.11118624452501535,0.9638671875,0.947912160307169,0.1737048476934433,0.6372634172439575,-0.6399625539779663,0.7617607116699219,6.485226913355291e-05
3,tide-routerdeep-d4-ln-drop02-k16-top2-soft075-dir512,kaggle_diagnostics,4,layer_norm,0.2,7.294243812561035,300000,9.519283294677734,0.46440619230270386,0.32524381256103485,0.14695501327514648,0.6489745560009194,1.110599538249433,0.020845719548823582,0.16951995017006993,0.92578125,0.9466355070471764,0.1746445596218109,0.6331857442855835,-0.6414263248443604,0.7616715431213379,6.638483318965882e-05
4,tide-routerdeep-d4-drop03-k16-top2-soft075-dir512,kaggle_diagnostics,4,none,0.3,7.335199356079102,300000,9.568598747253418,0.4606713056564331,0.36619935607910126,0.1879105567932129,0.6421179952797286,1.1101735438532232,0.020739787041454974,0.1472723747137934,0.9443359375,0.9433272331953049,0.18433557450771332,0.634554922580719,-0.6341995000839233,0.7875248193740845,8.395298209507018e-06
