run_name,owner,kernel_id,status,failure,baseline_rank,family,source_run_name,num_modes,topk,gmm_fit_data_mode,gmm_final_fit_stage,gmm_continue_em_iters,gmm_mix_x1_prob,gmm_pi_prior_type,gmm_pi_prior_strength,gmm_var_prior_type,gmm_var_prior_strength,gmm_var_prior_target_var,gmm_min_std_data_frac,train_step,last_eval_step,eval_count,fid128_best,fid128_best_step,fid32_best,fid32_best_step,fid4_best,baseline_fid128_best,baseline_fid32_best,delta_fid128_vs_baseline,delta_fid32_vs_baseline,train_loss,valid_loss,gmm_train_nll,gmm_valid_nll,gmm_x1_eval_train_nll,gmm_initial_train_nll,pi_entropy_normalized,data_variance_mean,component_variance_mean,var_floor_hit_rate,router_valid_loss,router_valid_top1_agreement,router_overfit_loss_gap,router_topk_mass,fm_target_variance,fm_pred_variance,fm_pred_target_var_ratio,fm_residual_variance,x0_x1_magnitude_ratio,flow_straightness_ratio_last,flow_curvature_proxy_last
tide-mc-r1-k16-top2-soft075-dir512-mixcont10,victorharvey27,victorharvey27/tide-mc-r1-k16-top2-soft075-dir512-mixcont10-vic,CANCEL_ACKNOWLEDGED,timeout,1,mix_continue,tide-k16-top2-softv0p75-s128-dir512,16,2,mix,mix_continue,10,0.5,dirichlet,512.0,kl,128.0,0.75,0.0,333200,320000,8,7.314674377441406,320000,9.571935653686523,280000,67.69105529785156,6.968733787536621,9.294981956481934,0.34594058990478516,0.27695369720458984,0.4746118187904358,0.45759499073028564,4273.067028045654,4259.677978515625,4255.612085342407,4253.500112533569,0.9960299418913585,0.6688715219497681,0.5301792621612549,0.0,0.19542736187577248,0.9208984375,0.04017536714673042,0.9997404217720032,1.2916951179504395,0.84765625,0.6562355452306691,0.4668642282485962,1.0062496883002372,1.1099369838414594,0.020800333274790393
tide-mc-r1-k16-top2-soft075-dir512-mix,no1ceboy,no1ceboy/tide-mc-r1-k16-top2-soft075-dir512-mix-no1ceboy,CANCEL_ACKNOWLEDGED,timeout,1,mix_only,tide-k16-top2-softv0p75-s128-dir512,16,2,mix,mix,0,0.5,dirichlet,512.0,kl,128.0,0.75,0.0,335700,320000,8,7.466292858123779,280000,9.66692066192627,280000,67.11356353759766,6.968733787536621,9.294981956481934,0.4975590705871582,0.37193870544433594,0.4666207432746887,0.4911377429962158,4285.256931304932,4265.470367431641,4262.0471267700195,4256.06622505188,0.9875669958285225,0.6688494682312012,0.5296894311904907,0.0,0.19436071440577507,0.921875,-0.06000174954533577,0.999524712562561,1.3090876340866089,0.84765625,0.6475168108905376,0.4587492048740387,1.0253692939491317,1.110796254004359,0.020788176697404945
tide-mc-r2-k32-top2-soft075-dir001-mix,codemaivanngu,codemaivanngu/tide-mc-r2-k32-top2-soft075-dir001-mix-codemaiva,CANCEL_ACKNOWLEDGED,timeout,2,mix_only,tide-k32-top2-softv0p75-s128-dir001,32,2,mix,mix,0,0.5,dirichlet,0.01,kl,128.0,0.75,0.0,339400,320000,8,7.616616249084473,320000,9.882308006286621,320000,68.85647583007812,7.117927074432373,9.380353927612305,0.4986891746520996,0.5019540786743164,0.4741677939891815,0.483254998922348,4262.14432144165,4218.154647827148,4213.026006698608,4179.60164642334,0.9218392564830445,0.6689039468765259,0.5646209716796875,0.0,0.26320105604827404,0.9033203125,0.06972591392695904,0.9994019269943237,1.358805775642395,0.875,0.6439478074681653,0.4662918746471405,1.013339918303098,1.109719267586613,0.02063592227742724
tide-mc-r3-k32-top2-none-hard05-x1cont10,kiuvithong,kiuvithong/tide-mc-r3-k32-top2-none-hard05-x1cont10-kiuvith,CANCEL_ACKNOWLEDGED,timeout,3,x1_continue,tide-k32-top2-g136-none-hardv0p5,32,2,x1,x1_continue,10,0.5,none,0.0,none,0.0,1.0,0.7071067811865476,342200,320000,8,7.62246561050415,320000,10.060842514038086,320000,70.39999389648438,7.255525588989258,9.669332504272461,0.3669400215148926,0.391510009765625,0.4786373972892761,0.4423401355743408,4182.384883880615,4188.714645385742,,4183.5606117248535,0.9850719108661339,0.6688629388809204,0.5119163393974304,0.118682861328125,0.23939560074359179,0.9052734375,-0.16914557199925184,0.9994549751281738,1.3138657808303833,0.84375,0.6421888843674253,0.47051000595092773,1.0004507280607804,1.107905668065981,0.020440948414890206
tide-mc-r4-k32-top2-dir001-hard05-mix,manh1904,manh1904/tide-mc-r4-k32-top2-dir001-hard05-mix-manh1904-2,CANCEL_ACKNOWLEDGED,timeout,4,mix_only,tide-k32-top2-g145-dir001-hardv0p5,32,2,mix,mix,0,0.5,dirichlet,0.01,none,0.0,1.0,0.7071067811865476,344900,320000,8,7.740347385406494,280000,10.037353515625,280000,70.49241638183594,7.527553558349609,9.988531112670898,0.21279382705688477,0.04882240295410156,0.46980512142181396,0.4913135766983032,4220.245027542114,4208.614364624023,4199.9055824279785,4185.511476516724,0.9429439935041491,0.6688675880432129,0.5191746950149536,0.11871337890625,0.27540578227490187,0.8916015625,-0.04861877579241991,0.9988398551940918,1.3211323022842407,0.87890625,0.6652673986400675,0.4614746570587158,1.0400606722460297,1.1084250478488404,0.020485434483479507
tide-mc-r2-k32-top2-soft075-dir001-mixcont10,hoanganpham123,hoanganpham123/tide-mc-r2-k32-top2-soft075-dir001-mixcont10-hoa,CANCEL_ACKNOWLEDGED,timeout,2,mix_continue,tide-k32-top2-softv0p75-s128-dir001,32,2,mix,mix_continue,10,0.5,dirichlet,0.01,kl,128.0,0.75,0.0,338800,320000,8,7.747143268585205,320000,10.033656120300293,280000,68.75018310546875,7.117927074432373,9.380353927612305,0.629216194152832,0.6533021926879883,0.4595564603805542,0.45900318026542664,4214.694465637207,4189.872909545898,4183.525510787964,4177.603786468506,0.9897164877616085,0.6688648462295532,0.5281649827957153,0.0,0.27646505273878574,0.88671875,-0.14052785001695156,0.9983291029930115,1.3741412162780762,0.94921875,0.690772344760171,0.4515596330165863,1.0085291453909286,1.1093723926397845,0.02063247785353295
tide-mc-r1-k16-top2-soft075-dir512-x1cont10,casihoavinh,casihoavinh/tide-mc-r1-k16-top2-soft075-dir512-x1cont10-casi,CANCEL_ACKNOWLEDGED,timeout,1,x1_continue,tide-k16-top2-softv0p75-s128-dir512,16,2,x1,x1_continue,10,0.5,dirichlet,512.0,kl,128.0,0.75,0.0,342900,320000,8,7.7970499992370605,320000,10.038925170898438,280000,70.18312072753906,6.968733787536621,9.294981956481934,0.8283162117004395,0.7439432144165039,0.4757996201515198,0.47580039501190186,4253.557815551758,4259.468994140625,,4255.98779296875,0.9916693550344009,0.6688263416290283,0.5285854339599609,0.0,0.17064655292779207,0.9296875,0.03966522682458162,0.9998548626899719,1.3000643253326416,0.828125,0.636987711964261,0.4682531952857971,1.0001970051351383,1.1106049352899536,0.020721283719858246
tide-mc-r3-k32-top2-none-hard05-mix,iamlonely,iamlonely/tide-mc-r3-k32-top2-none-hard05-mix-iamlonely-20,CANCEL_ACKNOWLEDGED,timeout,3,mix_only,tide-k32-top2-g136-none-hardv0p5,32,2,mix,mix,0,0.5,none,0.0,none,0.0,1.0,0.7071067811865476,338800,320000,8,7.805918216705322,320000,10.216629028320312,320000,70.38489532470703,7.255525588989258,9.669332504272461,0.5503926277160645,0.5472965240478516,0.4535181522369385,0.46063336730003357,4223.042881011963,4206.39778137207,4202.053104400635,4184.531638145447,0.9443062237799498,0.6688827276229858,0.5230597257614136,0.1032867431640625,0.2523756315931678,0.890625,-0.08237168285995722,0.9988182783126831,1.3299607038497925,0.91015625,0.6843482272561898,0.4456172585487366,0.9866654525915599,1.109062342082753,0.020556372080636605
tide-mc-r2-k32-top2-soft075-dir001-x1cont10,huynhtule,huynhtule/tide-mc-r2-k32-top2-soft075-dir001-x1cont10-huyn,CANCEL_ACKNOWLEDGED,timeout,2,x1_continue,tide-k32-top2-softv0p75-s128-dir001,32,2,x1,x1_continue,10,0.5,dirichlet,0.01,kl,128.0,0.75,0.0,342800,320000,8,7.815488815307617,280000,10.086950302124023,280000,68.30331420898438,7.117927074432373,9.380353927612305,0.6975617408752441,0.7065963745117188,0.4716699719429016,0.4620019793510437,4176.04158782959,4179.858703613281,,4178.232045173645,0.9898954077112405,0.6688611507415771,0.5205327272415161,0.0,0.2641788637265563,0.900390625,0.16880316194146872,0.9995033144950867,1.2509714365005493,0.8046875,0.6432500987001126,0.4637692868709564,0.9998547738174117,1.1075957472367055,0.020382011335466983
tide-mc-r4-k32-top2-dir001-hard05-x1cont10,veilwings,veilwings/tide-mc-r4-k32-top2-dir001-hard05-x1cont10-veilw,CANCEL_ACKNOWLEDGED,timeout,4,x1_continue,tide-k32-top2-g145-dir001-hardv0p5,32,2,x1,x1_continue,10,0.5,dirichlet,0.01,none,0.0,1.0,0.7071067811865476,336800,320000,8,7.88034725189209,320000,10.210261344909668,280000,69.36666870117188,7.527553558349609,9.988531112670898,0.35279369354248047,0.22173023223876953,0.463935911655426,0.4836105704307556,4179.489116668701,4186.807373046875,,4180.393009185791,0.9942158130278275,0.668840229511261,0.5142253041267395,0.09925079345703125,0.237973946146667,0.9033203125,0.04142381530255079,0.9995728135108948,1.314848780632019,0.87109375,0.6625048924495213,0.4548875093460083,0.9942175258089938,1.108232189932138,0.020527488945047263
