run,label,kernel,config,K,train_step,eval_count,last_eval_step,fid128_best,fid128_best_step,fid128_last,fid32_best,fid32_best_step,fid32_last,fid4_best,fid1_best,flow_straightness_last,flow_curvature_last,train_loss,valid_loss,loss_total,target_variance,pred_variance,pred_target_var_ratio,residual_variance,residual_variance_fraction,loss_per_sample_std,x0_magnitude,x1_magnitude,x0_x1_ratio,x0_variance,x1_variance,t_variance,router_valid_loss,router_valid_top1_agreement,router_valid_usage_entropy_norm,router_train_loss,router_overfit_loss_gap,train_router_usage_entropy_norm,train_router_usage_kl_uniform,train_router_num_unique,train_router_grad_norm_joint,train_router_update_norm_joint,train_router_loss_distill,train_router_kl_to_gmm_base,tide_mu_mag,tide_sigma_mag,gmm_valid_nll,gmm_train_nll,gmm_pi_entropy_norm,gmm_var_floor_hit_rate
tide-beta31-k16-top2-soft075-dir512-jointmix,beta31 K16 top2 jointmix,kieuhongquan/tide-beta31-k16-top2-soft075-dir512-jointmix-kie,"Beta(3,1), mean t=0.75",16,220000,10,200000,8.34797477722168,180000,9.20468521118164,9.627108573913574,180000,11.231940269470215,58.702884674072266,207.88150024414062,1.101078620499662,0.018538580349910898,0.47551822662353516,0.47091084718704224,0.47693371772766113,1.3311283588409424,0.8671875,0.6514679777050869,0.46777987480163574,0.983726441860199,0.07180260866880417,0.907245397567749,0.929604172706604,0.9759480693016298,0.6648709774017334,0.6915221810340881,0.04422027990221977,0.21164039336144924,0.91015625,0.9557108916342258,0.1512402892112732,0.06040010415017605,0.9489467740058899,0.14154958724975586,16.0,1.13231524156987e-09,2.643015932335402e-06,0.0,0.0,0.5504840016365051,0.7203046083450317,4258.750473022461,4274.264232635498,0.9953010933098334,0.0
tide-beta22-k16-top2-soft075-dir512-jointmix,beta22 K16 top2 jointmix,hoanganpham123/tide-beta22-k16-top2-soft075-dir512-jointmix-hoa,"Beta(2,2), mid-heavy",16,220000,10,200000,9.51711654663086,200000,9.51711654663086,11.695310592651367,200000,11.695310592651367,70.69306945800781,248.3581085205078,1.1104511912826383,0.019663309740364704,0.4633013904094696,0.44840940833091736,0.4644552767276764,1.3562633991241455,0.89453125,0.6595556958756499,0.455783873796463,0.9837740659713745,0.08514498174190521,0.9041135907173157,0.9295182824134827,0.9726689703937785,0.6679530143737793,0.6908050775527954,0.054224539548158646,0.168250503949821,0.935546875,0.928177934139967,0.3404272198677063,-0.1721767159178853,0.9583820104598999,0.11538958549499512,16.0,1.3209478844089517e-08,2.857179651982733e-06,0.0,0.0,0.539899468421936,0.7277630567550659,4269.205368041992,4294.381160736084,0.9785181438949047,0.0
tide-farthestlw5-k16-top2-soft075-dir512-joint,farthest+Lloyd K16 soft075,casihoavinh/tide-farthestlw5-k16-top2-soft075-dir512-joint-c,uniform/default t,16,220000,10,200000,9.96849250793457,200000,9.96849250793457,12.414191246032715,200000,12.414191246032715,73.83087158203125,263.969482421875,1.1146712292490712,0.020162453665338514,0.4775681793689728,0.4758971631526947,0.47868800163269043,1.3770383596420288,0.890625,0.646768475085563,0.46983617544174194,0.9838096499443054,0.07783835381269455,0.8975393772125244,0.9294536709785461,0.9656633840259926,0.6622192859649658,0.691545844078064,,0.18888245662674308,0.9228515625,0.9489234387874603,0.1446683704853058,0.04421408614143729,0.9596105813980103,0.1119832992553711,16.0,4.073718307129326e-10,3.417708057895652e-06,0.0,0.0,0.5184422135353088,0.7336418032646179,4258.301467895508,4255.2421875,0.9927960095654351,0.0
tide-farthestlw5-k32-top2-none-hard05-joint,farthest+Lloyd K32 hard05,codemaivanngu/tide-farthestlw5-k32-top2-none-hard05-joint-code,uniform/default t,32,220000,10,200000,10.406814575195312,200000,10.406814575195312,12.953556060791016,200000,12.953556060791016,74.1170654296875,265.7900695800781,1.1116665072758178,0.019995444980652435,0.466927707195282,0.4749875068664551,0.4693538546562195,1.3917710781097412,0.90625,0.6511487515826523,0.4588090479373932,0.982612669467926,0.08341004699468613,0.8959712386131287,0.9294242858886719,0.9640066998641454,0.6628826856613159,0.6913566589355469,,0.26850905176252127,0.8994140625,0.9070895053446293,0.2913746237754822,-0.02286557201296091,0.9299965500831604,0.2426135540008545,28.0,4.136504916374406e-09,1.0125233529834077e-05,0.0,0.0,0.5440471768379211,0.7129452228546143,4184.758651733398,4179.260190010071,0.9915553943586026,0.102325439453125
tide-beta0p5-0p5-k16-top2-soft075-dir512-jointmix,beta0.5 K16 top2 jointmix,huynhtule/tide-beta0p5-0p5-k16-top2-soft075-dir512-jointmi,"Beta(0.5,0.5), endpoints-heavy",16,220000,10,200000,11.240120887756348,200000,11.240120887756348,13.762043952941895,200000,13.762043952941895,75.13653564453125,269.7820129394531,1.117609087158652,0.02041803550718309,0.5312319993972778,0.5062688589096069,0.5330060124397278,1.3318877220153809,0.80078125,0.601237804631367,0.5232811570167542,0.9850332140922546,0.110794298350811,0.9092341661453247,0.9294692277908325,0.9782294442457201,0.6835949420928955,0.6918184757232666,0.14376135170459747,0.20502930879592896,0.9140625,0.936711460351944,0.4510578513145447,-0.24602854251861572,0.9360150694847107,0.17740392684936523,15.0,4.059693736735426e-08,3.256103354942752e-06,0.0,0.0,0.5387989282608032,0.7319420576095581,4266.275314331055,4298.6658935546875,0.9747024402457617,0.0
tide-beta13-k16-top2-soft075-dir512-jointmix,beta13 K16 top2 jointmix,iamlonely/tide-beta13-k16-top2-soft075-dir512-jointmix-iam,"Beta(1,3), mean t=0.25",16,220000,10,200000,13.92369270324707,200000,13.92369270324707,16.152090072631836,200000,16.152090072631836,74.67317199707031,269.344970703125,1.1142122009221245,0.019543237479217827,0.5122007727622986,0.5096905827522278,0.5137228965759277,1.3617262840270996,0.84765625,0.6224865157872879,0.5035625696182251,0.9831351637840271,0.1341598927974701,0.9050552248954773,0.9296094179153442,0.9735865487734301,0.6746677160263062,0.6916888952255249,0.03901112452149391,0.22195659251883626,0.9130859375,0.9342897720634937,0.3522050082683563,-0.13024841574952006,0.9451015591621399,0.15221071243286133,16.0,3.257655256660996e-11,3.881434906816139e-07,0.0,0.0,0.5419370532035828,0.7248393893241882,4269.404815673828,4293.925128936768,0.9812728784374344,0.0
